,Formula SAE Michigan,Formula SAE Nevada,Formula SAE Knowledge,Formula SAE Lincoln,Formula SAE Electric,Formula SAE North,Formula SAE California,Formula SAE VIR
2023,['https://sae-ppe-program-support.zendesk.com/attachments/token/ak9jwxXEa2UcXAfmaSxrWGOod/?name=FSAE_2023_results.pdf'],,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/student-events/results/formula-sae/fsae_ev_2023_results.pdf'],,,
2022,"['https://www.sae.org/binaries/content/assets/cm/content/attend/2022/student-events/formula-sae-michigan---may/formula_sae_michigan_may_ic_results_2022.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/student-events/results/formula-sae/formula_sae_michigan_june_ic_results_2022.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/student-events/results/formula-sae/formula_sae_michigan_june_ev_results_2022.pdf']",,,,,,,
2021,"['https://www.sae.org/binaries/content/assets/cm/content/attend/2021/student-events/formula/fsae_mi_c_2021_results.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/2021/student-events/formula/fsae_mi_e_2021_results.pdf']","['https://www.sae.org/binaries/content/assets/cm/content/attend/2021/student-events/formula/fsae_nv_ic_2021_result.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/2021/student-events/formula/fsae_nv_ev_2021_result.pdf']","['https://www.sae.org/binaries/content/assets/cm/content/attend/2022/student-events/formula-sae-michigan---may/fsae_kn_c_2021_results.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/2022/student-events/formula-sae-michigan---may/fsae_kn_e_2021_results.pdf']",,,,,
2019,['https://www.sae.org/binaries/content/assets/cm/content/attend/2019/student-events/formula-sae/michigan/fsae_mi_2019_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2019/student-events/formula-sae/lincoln/fsae_ln_c_2019_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2019/student-events/formula-sae/lincoln/fsae_ln_e_2019_result.pdf'],"['https://www.sae.org/binaries/content/assets/cm/content/attend/2019/student-events/formula-sae/north/fsae_on_2019_ic_result.pdf', 'https://www.sae.org/binaries/content/assets/cm/content/attend/2019/student-events/formula-sae/north/fsae_on_2019_ev_result.pdf']",,
2018,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/michigan/fsae_mi_2018_result5.24.18.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/student-events/results/formula-sae/fsae_ln_2018_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/student-events/results/formula-sae/fsae_ev_2018_result.pdf'],,,
2017,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_mi_2017_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2017_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ev_2017_result.pdf'],,,
2016,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_mi_2016_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2016_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ev_2016_result.pdf'],,,
2015,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_mi_2015_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2015_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ev_2015_result.pdf'],,,
2014,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_mi_2014_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2014_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ev_2014_result.pdf'],,,
2013,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_mi_2013_result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2013_result.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ev_2013_result.pdf'],,,
2012,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2012result.pdf'],,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae_ln_2012_result.pdf'],,,,
2011,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2011results.pdf'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2011results.pdf'],
2010,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2010results.pdf'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2010results.pdf'],
2009,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2009results.xls'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2009results.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaev2009results.pdf']
2008,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2008results.pdf'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2008results.pdf'],['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaev2008results.pdf']
2007,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2007results.xls'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2007results.xls'],
2006,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2006results.xls'],,,,,,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsaew2006results.xls'],
2005,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2005results.xls'],,,,,,,
2004,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2004results.xls'],,,,,,,
2003,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2003results.xls'],,,,,,,
2002,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2002results.xls'],,,,,,,
2001,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/fsae2001results.xls'],,,,,,,
2000,['https://www.sae.org/binaries/content/assets/cm/content/attend/2018/student-events/fsae/results/2000fsaeresults.xls'],,,,,,,
